OM,M,h,Growth,Weir
1,0.35,0.95,?,-
2,0.49 [A1-2]; 0.26 [A3+],0.95,?,-
3,0.79 [A1-2]; 0.45 [A3+],0.95,?,-
4,0.35,0.95,?,-
5,0.49 [A1-2]; 0.26 [A3+],0.95,?,-
6,0.79 [A1-2]; 0.45 [A3+],0.95,?,-
7,0.35,0.65,?,-
8,0.49 [A1-2]; 0.26 [A3+],0.65,?,-
9,0.79 [A1-2]; 0.45 [A3+],0.65,?,-
10,0.35,0.65,?,-
11,0.49 [A1-2]; 0.26 [A3+],0.65,?,-
12,0.79 [A1-2]; 0.45 [A3+],0.65,?,-
13,0.35,0.95,?,+
14,0.49 [A1-2]; 0.26 [A3+],0.95,?,+
15,0.79 [A1-2]; 0.45 [A3+],0.95,?,+
16,0.35,0.95,?,+
17,0.49 [A1-2]; 0.26 [A3+],0.95,?,+
18,0.79 [A1-2]; 0.45 [A3+],0.95,?,+
19,0.35,0.65,?,+
20,0.49 [A1-2]; 0.26 [A3+],0.65,?,+
21,0.79 [A1-2]; 0.45 [A3+],0.65,?,+
22,0.35,0.65,?,+
23,0.49 [A1-2]; 0.26 [A3+],0.65,?,+
24,0.79 [A1-2]; 0.45 [A3+],0.65,?,+
,,,,
