id,FlowmeterType,FlowReading1,FlowReading2,NoRevs,DistanceCalc,Volume
SB2017-01,NA,NA,NA,#VALUE!,,
LI2017-01,NA,NA,NA,#VALUE!,,
NE2017-01,NA,NA,NA,#VALUE!,,
SB2017-02,NA,NA,NA,#VALUE!,,
SB2017-03,HydroBios,970,1720,750,225,176.715
SB2017-04,HydroBios,1761,6376,4615,1384.5,1087.3863
GB2017-01,HydroBios,6385,10641,4256,1276.8,1002.79872
SB2017-05,NA,NA,NA,#VALUE!,,
GB2017-02,HydroBios,10654,13647,2993,897.9,705.21066
SB2017-06,NA,NA,NA,#VALUE!,,
GB2017-03,HydroBios,13657,17312,3655,1096.5,861.1911
GB2017-04,HydroBios,17315,21726,4411,1323.3,1039.31982
GB2017-06,HydroBios,21731,25165,3434,1030.2,809.11908
SB2018-01,HydroBios,25168,26420,1252,375.6,294.99624
SB2018-02,HydroBios,30546,35332,4786,1435.8,1127.67732
SB2018-03,GeneralOceanics,69,61302,61233,1645.516055,1292.384195
SB2018-04,HydroBios,35869,40672,4803,1440.9,1131.68286
SB2018-05,GeneralOceanics,61309,112775,51466,1383.047201,1086.241814
SB2018-06,GeneralOceanics,112794,156977,44183,1187.330946,932.5267569
SB2018-07,GeneralOceanics,156591,211914,55323,1486.696466,1167.647687
SB2018-08,HydroBios,40692,45159,4467,1340.1,1052.51454
GB2018-01,GeneralOceanics,211914,247474,35560,955.6048356,750.5296489
SB2018-09,HydroBios,47470,51550,4080,1224,961.3296
SB2018-10,HydroBios,51552,55447,3895,1168.5,917.7399
GB2018-03,GeneralOceanics,247410,289272,41862,1124.958651,883.5397121
SB2018-11,HydroBios,55628,60017,4389,1316.7,1034.13618
GB2018-04,GeneralOceanics,292192,340365,48173,1294.554324,1016.739729
SB2019-01,GeneralOceanics,580000,620831,40831,1097.25256,861.7794177
SB2019-02,GeneralOceanics,62083,119065,56982,1531.278817,1202.662555
SB2019-03,HydroBios,60276,66645,6369,1910.7,1500.66378
SB2019-04,HydroBios,66645,71145,4500,1350,1060.29
SB2019-05,HydroBios,71178,76327,5149,1544.7,1213.20738
